id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
390,RP_Baylor_102756,13581,Enc1,ectodermal-neural cortex 1,13803,13,coronal,n/a,6.928,3269.981,343.931,258,188
276264,RP_040609_01_C09,53820,Sbf1,SET binding factor 1,77980,15,coronal,n/a,6.921,1803.356,196.606,220,166
71924353,RP_050614_04_A09,47407,9030425E11Rik,RIKEN cDNA 9030425E11 gene,71566,9,coronal,n/a,6.610,4185.240,558.833,213,188
77371867,RP_070129_01_D09,19487,Rfx1,"regulatory factor X, 1 (influences HLA class II expression)",19724,8,coronal,n/a,5.882,971.586,187.217,105,119
75988567,RP_060620_02_D07,88877,Pak7,p21 protein (Cdc42/Rac)-activated kinase 7,241656,2,coronal,n/a,5.372,1610.766,119.714,258,103
544709,RP_040625_01_C03,88659,Cpne5,copine V,240058,17,coronal,n/a,5.114,1724.855,268.923,227,181
74363350,RP_051019_01_H10,16764,Ltb,lymphotoxin B,16994,17,coronal,n/a,4.061,3038.171,545.102,258,188
74273122,RP_050927_02_E07,71746,Col16a1,"collagen, type XVI, alpha 1",107581,4,coronal,n/a,3.950,1126.814,283.617,170,169
74658089,RP_060220_02_C03,16353,Kifc5b,kinesin family member C5B,16580,17,coronal,n/a,3.815,4285.187,872.025,219,170
112194079,RP_110421_01_E06,47768,Itfg1,integrin alpha FG-GAP repeat containing 1,71927,8,coronal,n/a,3.762,6184.186,1430.945,216,188
1830,RP_040526_01_H05,20082,Sfrp2,secreted frizzled-related protein 2,20319,3,coronal,n/a,3.611,1492.760,301.233,258,188
112202624,RP_110421_01_F02,60343,Klf7,Kruppel-like factor 7 (ubiquitous),93691,1,coronal,n/a,3.565,2312.795,572.494,170,150
112647104,RP_110421_01_A10,16979,Mcl1,myeloid cell leukemia sequence 1,17210,3,coronal,n/a,3.549,920.909,187.590,213,154
73635976,RP_051101_03_C09,35616,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",56336,2,coronal,n/a,3.482,1097.661,284.421,174,157
321202,RP_040617_01_C04,54228,Mvp,major vault protein,78388,7,coronal,n/a,3.408,1660.207,277.543,258,147
