id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
72119650,RP_051017_04_B04,36087,Cacna2d2,"calcium channel, voltage-dependent, alpha 2/delta subunit 2",56808,9,coronal,n/a,3.282,791.631,309.341,184,236
79556722,RP_071204_01_E02,11616,Aqp4,aquaporin 4,11829,18,coronal,n/a,3.233,709.588,335.114,169,258
67881549,RP_041018_01_E06,49945,Abcb6,"ATP-binding cassette, sub-family B (MDR/TAP), member 6",74104,1,coronal,n/a,3.035,1035.304,339.227,175,174
67870479,RP_041018_01_D12,18852,Prkcsh,protein kinase C substrate 80K-H,19089,9,coronal,n/a,2.890,1946.761,924.500,188,258
293463,RP_040604_02_F11,32197,Anapc16,anaphase promoting complex subunit 16,52717,10,coronal,n/a,2.864,844.024,404.381,188,258
73718576,RP_050927_02_A01,12011,Btg1,"B cell translocation gene 1, anti-proliferative",12226,10,coronal,n/a,2.720,694.429,354.156,186,258
275,RP_Baylor_102693,12543,Clu,clusterin,12759,14,coronal,n/a,2.678,879.772,450.782,188,258
2255,RP_Baylor_102816,14385,Gja1,"gap junction protein, alpha 1",14609,10,coronal,n/a,2.561,696.420,373.190,188,258
71249067,RP_050407_03_G02,85303,Pou6f2,"POU domain, class 6, transcription factor 2",218030,13,coronal,n/a,2.538,500.874,270.865,188,258
234,RP_Baylor_102674,12339,Cdh13,cadherin 13,12554,8,coronal,n/a,2.474,1491.739,827.522,188,258
2205,RP_040407_02_A02,13891,Fbln1,fibulin 1,14114,15,coronal,n/a,2.260,507.863,281.213,175,219
121096,RP_040428_01_F12,59217,Tnfrsf25,"tumor necrosis factor receptor superfamily, member 25",85030,4,coronal,n/a,2.215,486.557,301.479,188,258
77280428,RP_070116_01_E06,45834,Chn2,chimerin (chimaerin) 2,69993,6,coronal,n/a,2.178,818.402,727.856,111,215
77887874,RP_070208_04_A05,17878,Nnat,neuronatin,18111,2,coronal,n/a,2.151,1128.003,694.843,163,216
1044,RP_Baylor_103063,21174,Tcf4,transcription factor 4,21413,18,coronal,n/a,2.012,1484.302,1012.448,188,258
71670734,RP_050609_01_C01,109381,Ust,uronyl-2-sulfotransferase,338362,10,coronal,n/a,2.005,374.858,213.161,150,171
1231,RP_Baylor_102910,17303,Meis2,Meis homeobox 2,17536,2,coronal,n/a,1.933,534.971,379.708,188,258
527,RP_Baylor_253919,14581,Grik1,"glutamate receptor, ionotropic, kainate 1",14805,16,coronal,n/a,1.894,388.951,281.890,188,258
537,RP_Baylor_102830,14592,Grm1,"glutamate receptor, metabotropic 1",14816,10,coronal,n/a,1.884,422.625,307.771,188,258
74425524,RP_051214_02_E10,29555,Tnfrsf19,"tumor necrosis factor receptor superfamily, member 19",29820,14,coronal,n/a,1.845,620.350,338.100,188,189
75077281,RP_060412_02_E12,47501,Rarres2,retinoic acid receptor responder (tazarotene induced) 2,71660,6,coronal,n/a,1.831,459.606,353.794,183,258
227539,RP_040526_02_C07,21189,Mlx,MAX-like protein X,21428,11,coronal,n/a,1.813,45.614,499.285,13,258
73615805,RP_050818_01_F01,37281,BC100451,cDNA sequence BC100451,58251,11,coronal,n/a,1.795,472.100,360.967,188,258
71836884,RP_051017_02_F02,107725,Chd7,chromodomain helicase DNA binding protein 7,320790,4,coronal,n/a,1.790,839.363,601.139,188,241
73519705,RP_050915_03_G11,14700,Magi1,"membrane associated guanylate kinase, WW and PDZ domain containing 1",14924,6,coronal,n/a,1.777,986.302,203.567,169,62
